CoCoNest_Parcel,Yeo_17_Name,Glasser_Name
209,LH_17Networks_7                  ,LH_L_FOP4_ROI  
210,RH_17Networks_8                  ,RH_R_9-46d_ROI 
211,RH_17Networks_10                 ,RH_R_a24_ROI   
212,LH_17Networks_14                 ,LH_L_TPOJ1_ROI 
213,RH_17Networks_10                 ,RH_R_13l_ROI   
214,RH_17Networks_6                  ,RH_R_PFop_ROI  
215,RH_17Networks_13                 ,RH_R_PFm_ROI   
216,LH_17Networks_12                 ,LH_L_PH_ROI    
217,RH_17Networks_5                  ,RH_R_PGp_ROI   
218,LH_17Networks_7                  ,LH_L_p24pr_ROI 
219,RH_17Networks_4                  ,RH_R_OP2-3_ROI 
220,LH_17Networks_6                  ,LH_L_7AL_ROI   
221,LH_17Networks_7                  ,LH_L_PSL_ROI   
222,RH_17Networks_14                 ,RH_R_TPOJ1_ROI 
223,LH_17Networks_12                 ,LH_L_PF_ROI    
224,RH_17Networks_4                  ,RH_R_Ig_ROI    
225,RH_17Networks_15                 ,RH_R_DVT_ROI   
226,LH_17Networks_13                 ,LH_L_a9-46v_ROI
227,RH_17Networks_5                  ,RH_R_7Am_ROI   
228,RH_17Networks_7                  ,RH_R_FOP2_ROI  
229,LH_17Networks_11                 ,LH_L_31a_ROI   
230,LH_17Networks_8                  ,LH_L_p32pr_ROI 
231,RH_17Networks_11                 ,RH_R_PCV_ROI   
232,LH_17Networks_4                  ,LH_L_52_ROI    
233,LH_17Networks_4                  ,LH_L_PoI1_ROI  
234,LH_17Networks_9                  ,LH_L_PeEc_ROI  
235,RH_17Networks_4                  ,RH_R_RI_ROI    
236,RH_17Networks_7                  ,RH_R_PSL_ROI   
237,LH_17Networks_9                  ,LH_L_EC_ROI    
238,RH_17Networks_6                  ,RH_R_7Am_ROI   
239,LH_17Networks_3                  ,LH_L_4_ROI     
240,RH_17Networks_13                 ,RH_R_PFm_ROI   
241,LH_17Networks_2                  ,LH_L_V3_ROI    
242,LH_17Networks_16                 ,LH_L_PGs_ROI   
243,RH_17Networks_16                 ,RH_R_p24_ROI   
244,RH_17Networks_11                 ,RH_R_RSC_ROI   
245,LH_17Networks_7                  ,LH_L_PoI1_ROI  
246,RH_FreeSurfer_Defined_Medial_Wall,RH_R_Pir_ROI   
247,RH_17Networks_7                  ,RH_R_6ma_ROI   
248,RH_17Networks_7                  ,RH_R_p24pr_ROI 
249,LH_17Networks_8                  ,LH_L_MI_ROI    
250,RH_17Networks_3                  ,RH_R_4_ROI     
251,RH_17Networks_14                 ,RH_R_A5_ROI    
